Rowid_,FIPS,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,STATE
,38009,16197.2998047,14601.5000000,30918.1992188,62759.1992188,54834.1992188,55539.8984375,42317.1015625,103295.8984375,152941.0000000,179571.0000000,242406.2031250,270697.3125000,313285.8125000,396063.6875000,474379.6875000,523177.9062500,566971.5000000,608355.0000000,609853.1250000,717144.1250000,38
,38011,5447.3999023,4910.7001953,10398.2001953,21106.8007813,18441.5000000,18678.8007813,14231.7998047,34739.8984375,51436.1992188,60392.1992188,81524.6015625,91039.2968750,105362.3984375,133201.7031250,159540.5000000,175952.0000000,190680.4062500,204598.2968750,205102.0937500,241185.5937500,38
,38013,4133.0000000,3725.8000488,7889.2001953,16013.7998047,13991.7001953,14171.7001953,10797.7998047,26357.3007813,39024.8984375,45819.8984375,61853.1015625,69072.0000000,79939.0000000,101060.8984375,121044.2031250,133495.7031250,144670.2031250,155229.7968750,155612.0937500,182988.7968750,38
,38015,5677.2998047,5117.8999023,10837.0996094,21997.5996094,19219.8007813,19467.1992188,14832.5000000,36206.0000000,53607.0000000,62941.1015625,84965.2968750,94881.5000000,109809.1015625,138823.4062500,166273.7968750,183378.0000000,198728.0000000,213233.2031250,213758.2968750,251364.7031250,38
,38017,39931.3984375,35997.1015625,76222.8984375,154720.7031250,135183.2968750,136922.9062500,104324.7968750,254656.2968750,377046.4062500,442697.8125000,597605.8125000,667351.8750000,772345.8125000,976418.6250000,1169492.0000000,1289794.0000000,1397759.0000000,1499782.0000000,1503476.0000000,1767981.0000000,38
,38019,22736.5996094,20496.5000000,43400.6992188,88096.7968750,76972.2968750,77962.7968750,59401.6992188,144999.2968750,214687.2968750,252068.5937500,340272.0937500,379984.9062500,439767.5937500,555965.1250000,665899.5000000,734398.8750000,795873.0000000,853964.3125000,856067.3125000,1006675.0000000,38
,38021,12529.9003906,11295.4003906,23917.5996094,48549.1015625,42418.5000000,42964.3984375,32735.5996094,79907.3984375,118311.6015625,138912.0000000,187519.9062500,209405.2031250,242350.7031250,306385.8125000,366969.3125000,404718.4062500,438596.1875000,470609.5000000,471768.4062500,554766.3125000,38
,38023,3375.0000000,3042.3999023,6442.2998047,13076.9003906,11425.5996094,11572.5996094,8817.4003906,21523.3007813,31867.5996094,37416.3984375,50509.1015625,56404.0000000,65277.8984375,82526.0000000,98844.2968750,109012.2031250,118137.2968750,126760.2031250,127072.2968750,149428.0937500,38
,38025,5494.2001953,4952.8999023,10487.5996094,21288.0996094,18600.0000000,18839.3007813,14354.0996094,35038.3007813,51878.1015625,60911.1015625,82225.0000000,91821.3984375,106267.6015625,134346.0937500,160911.0937500,177463.7031250,192318.5937500,206356.0000000,206864.2031250,243257.5937500,38
,38027,5353.8999023,4826.3999023,10219.7998047,20744.5996094,18125.0996094,18358.4003906,13987.7001953,34143.8007813,50553.6015625,59356.0000000,80125.7968750,89477.2031250,103554.6015625,130916.2968750,156803.0937500,172933.0937500,187408.7031250,201087.7968750,201583.0000000,237047.2968750,38
,38029,4978.8999023,4488.3999023,9504.0000000,19291.5996094,16855.5996094,17072.5000000,13007.9003906,31752.3007813,47012.6992188,55198.6015625,74513.6015625,83210.0000000,96301.2968750,121746.5000000,145820.2031250,160820.2968750,174282.0937500,187003.0000000,187463.5937500,220443.9062500,38
,38031,9576.9003906,8633.2998047,18280.8007813,37107.1015625,32421.4003906,32838.6015625,25020.5000000,61074.8984375,90428.1015625,106173.3984375,143325.4062500,160052.7968750,185233.7968750,234177.2031250,280482.4062500,309334.9062500,335228.3125000,359696.8125000,360582.5937500,424019.5937500,38
,38033,5127.7001953,4622.5000000,9788.0000000,19868.1992188,17359.3007813,17582.6992188,13396.7001953,32701.1992188,48417.6992188,56848.1992188,76740.3984375,85696.7031250,99179.2968750,125384.8984375,150177.9062500,165626.4062500,179490.4062500,192591.5000000,193065.7968750,227031.7031250,38
,38035,31000.6992188,27946.3007813,59175.5000000,120117.2031250,104949.2968750,106299.7968750,80992.2968750,197701.9062500,292719.3125000,343687.5937500,463950.1875000,518097.4062500,599609.1250000,758040.8750000,907932.8125000,1001330.0000000,1085148.0000000,1164353.0000000,1167220.0000000,1372569.0000000,38
,38037,3848.0000000,3468.8999023,7345.2001953,14909.7001953,13027.0000000,13194.5996094,10053.2998047,24540.0000000,36334.1992188,42660.6992188,57588.3984375,64309.5000000,74427.2968750,94092.7968750,112698.3984375,124291.3984375,134695.4062500,144526.9062500,144882.7968750,170371.9062500,38
,38039,10542.0996094,9503.5000000,20123.3007813,40847.1992188,35689.1992188,36148.5000000,27542.4003906,67230.7968750,99542.6015625,116874.8984375,157771.5000000,176184.9062500,203903.9062500,257780.4062500,308752.9062500,340513.5000000,369016.8125000,395951.5000000,396926.5937500,466757.5937500,38
,38041,9672.9003906,8719.7998047,18464.0000000,37479.1015625,32746.4003906,33167.8007813,25271.3007813,61687.1992188,91334.7031250,107237.8984375,144762.4062500,161657.5000000,187090.9062500,236525.0000000,283294.5000000,312436.3125000,338589.4062500,363303.0937500,364197.8125000,428270.9062500,38
,38043,1756.6999512,1583.5999756,3353.3000488,6806.7001953,5947.1000977,6023.7001953,4589.6000977,11203.0996094,16587.5000000,19475.6992188,26290.5996094,29358.9003906,33977.8984375,42955.6992188,51449.6015625,56742.1015625,61491.8007813,65980.2031250,66142.6015625,77779.1015625,38
,38045,16434.1992188,14815.0000000,31370.4003906,63677.1015625,55636.1992188,56352.1992188,42936.0000000,104806.6015625,155177.7031250,182197.2968750,245951.4062500,274656.1875000,317867.5937500,401856.0937500,481317.5000000,530829.3750000,575263.5000000,617252.3125000,618772.3125000,727632.3750000,38
,38047,3583.8999023,3230.8000488,6841.2001953,13886.5000000,12133.0000000,12289.0996094,9363.2998047,22855.9003906,33840.6015625,39733.0000000,53636.3007813,59896.1015625,69319.5000000,87635.3984375,104964.1015625,115761.5000000,125451.5000000,134608.2968750,134939.7968750,158679.7031250,38
,38049,9901.7001953,8926.0996094,18900.8007813,38365.8007813,33521.1015625,33952.5000000,25869.1992188,63146.6015625,93495.3984375,109774.7968750,148187.0937500,165481.7968750,191517.0000000,242120.5000000,289996.4062500,319827.5937500,346599.4062500,371897.8125000,372813.5937500,438402.5000000,38
,38051,2792.5000000,2517.3999023,5330.3999023,10819.9003906,9453.5996094,9575.2998047,7295.6000977,17808.5996094,26367.5996094,30958.8007813,41791.8007813,46669.3007813,54011.6992188,68282.8984375,81784.8984375,90197.8984375,97748.1015625,104882.7968750,105141.1015625,123638.5000000,38
,38053,7733.2998047,6971.2998047,14761.5996094,29963.8007813,26180.0996094,26517.0000000,20203.9003906,49317.6992188,73020.2031250,85734.5000000,115734.6015625,129241.8984375,149575.4062500,189096.9062500,226488.2031250,249786.4062500,270695.3125000,290453.4062500,291168.6875000,342393.8125000,38
,38055,14325.5000000,12914.0996094,27345.3007813,55506.6015625,48497.5000000,49121.6015625,37426.8984375,91358.8984375,135266.7968750,158819.4062500,214393.2968750,239415.0000000,277081.9062500,350293.8125000,419559.5000000,462718.5000000,501451.3125000,538052.3750000,539377.3750000,634269.6250000,38
,38057,3975.6000977,3583.8999023,7588.8999023,15404.2998047,13459.0996094,13632.2998047,10386.7998047,25354.0000000,37539.3984375,44075.8007813,59498.6992188,66442.7968750,76896.1015625,97214.0000000,116436.7031250,128414.2968750,139163.4062500,149321.0000000,149688.7031250,176023.2968750,38
,38059,7131.2001953,6428.6000977,13612.2998047,27630.9003906,24141.8007813,24452.5000000,18630.9003906,45478.0000000,67335.1015625,79059.5000000,106723.7968750,119179.5000000,137929.7968750,174374.2968750,208854.4062500,230338.7031250,249619.7031250,267839.5000000,268499.0937500,315735.9062500,38
,38061,5376.7001953,4847.0000000,10263.4003906,20833.0996094,18202.4003906,18436.5996094,14047.2998047,34289.3984375,50769.1992188,59609.1015625,80467.5000000,89858.7968750,103996.1015625,131474.5000000,157471.7031250,173670.4062500,188207.7968750,201945.2031250,202442.5000000,238058.0937500,38
,38063,13964.9003906,12589.0000000,26656.9003906,54109.3007813,47276.6015625,47885.0000000,36484.6992188,89059.0000000,131861.5937500,154821.2968750,208996.0937500,233387.9062500,270106.5937500,341475.4062500,408997.4062500,451069.9062500,488827.5937500,524507.3125000,525799.0000000,618302.3750000,38
,38065,2462.1000977,2219.5000000,4699.7001953,9539.7001953,8335.0000000,8442.2998047,6432.3999023,15701.4003906,23247.6992188,27295.5996094,36846.8007813,41147.1015625,47620.8007813,60203.3984375,72107.7968750,79525.2968750,86182.1015625,92472.6015625,92700.2968750,109009.0000000,38
,38067,25719.6992188,23185.6992188,49095.0000000,99655.2968750,87071.2968750,88191.7968750,67195.3984375,164023.5937500,242854.9062500,285140.8125000,384916.8125000,429840.0937500,497466.4062500,628909.3750000,753267.3750000,830754.1250000,900293.8750000,966006.8125000,968385.8125000,1138753.0000000,38
,38069,5494.7001953,4953.3999023,10488.5996094,21290.1992188,18601.8007813,18841.1992188,14355.5000000,35041.8007813,51883.1992188,60917.0000000,82233.0000000,91830.3984375,106278.0000000,134359.2031250,160926.9062500,177481.0000000,192337.4062500,206376.2031250,206884.4062500,243281.4062500,38
,38071,10867.2998047,9796.5996094,20744.0000000,42107.1992188,36790.1015625,37263.5000000,28391.9003906,69304.6015625,102613.0000000,120480.0000000,162638.0937500,181619.5000000,210193.5000000,265731.9062500,318276.5937500,351016.9062500,380399.4062500,408164.9062500,409170.0937500,481155.0937500,38
,38073,11016.2001953,9930.9003906,21028.3007813,42684.1992188,37294.1992188,37774.1992188,28781.0000000,70254.2968750,104019.2968750,122131.1015625,164867.0000000,184108.5000000,213074.0937500,269373.5000000,322638.4062500,355827.4062500,385612.5937500,413758.5937500,414777.5000000,487749.0000000,38
,38075,5325.7998047,4801.1000977,10166.0996094,20635.5996094,18029.9003906,18261.9003906,13914.2001953,33964.3984375,50288.0000000,59044.1015625,79704.7968750,89007.0000000,103010.3984375,130228.2968750,155979.2031250,172024.2968750,186423.9062500,200031.0937500,200523.7031250,235801.7031250,38
,38077,28691.8007813,25864.9003906,54768.1992188,111170.8984375,97132.7968750,98382.7031250,74960.1015625,182977.2968750,270917.9062500,318090.0937500,429395.5937500,479510.0000000,554950.8750000,701582.6250000,840310.8125000,926751.3750000,1004327.0000000,1077633.0000000,1080287.0000000,1270341.0000000,38
,38079,7481.2998047,6744.2001953,14280.7001953,28987.6992188,25327.1992188,25653.0996094,19545.6992188,47711.0000000,70641.3984375,82941.5000000,111964.2031250,125031.5000000,144702.5937500,182936.5937500,219109.7968750,241649.0000000,261876.7031250,280991.1875000,281683.0937500,331239.4062500,38
,38081,11928.2998047,10753.0000000,22769.1992188,46218.0000000,40381.8007813,40901.5000000,31163.8007813,76070.6015625,112630.8984375,132242.2031250,178516.2031250,199350.7031250,230714.2968750,291674.8125000,349349.3125000,385286.0000000,417537.0937500,448013.3125000,449116.5937500,528129.3750000,38
,38083,3351.8999023,3021.6000977,6398.2001953,12987.4003906,11347.4003906,11493.4003906,8757.0996094,21376.0000000,31649.5000000,37160.3007813,50163.3984375,56017.8984375,64831.1992188,81961.2031250,98167.8984375,108266.1015625,117328.7968750,125892.6015625,126202.7031250,148405.4062500,38
,38085,1215.5000000,1095.8000488,2320.1999512,4709.7001953,4115.0000000,4168.0000000,3175.6999512,7751.7998047,11477.4003906,13475.7998047,18191.3007813,20314.4003906,23510.4003906,29722.4003906,35599.6015625,39261.6992188,42548.1015625,45653.6992188,45766.1992188,53817.8007813,38
,38087,4982.5000000,4491.6000977,9510.9003906,19305.6992188,16867.8007813,17084.9003906,13017.4003906,31775.4003906,47047.0000000,55238.8007813,74567.7968750,83270.6015625,96371.3984375,121835.2031250,145926.4062500,160937.4062500,174409.0000000,187139.2031250,187600.0937500,220604.4062500,38
,38089,7343.7998047,6620.2001953,14018.0996094,28454.5996094,24861.5000000,25181.4003906,19186.3007813,46833.6992188,69342.3984375,81416.2968750,109905.2968750,122732.2968750,142041.5937500,179572.5937500,215080.5000000,237205.2968750,257061.0000000,275824.0000000,276503.3125000,325148.3125000,38
,38091,16398.0996094,14782.5000000,31301.5000000,63537.1015625,55513.8984375,56228.3007813,42841.6992188,104576.2968750,154836.7031250,181796.7968750,245410.7968750,274052.5000000,317168.9062500,400972.9062500,480259.5937500,529662.6250000,573999.0000000,615895.5000000,617412.3125000,726033.1250000,38
,38093,25250.9003906,22763.0996094,48200.1992188,97838.8984375,85484.2031250,86584.2968750,65970.6015625,161033.9062500,238428.2968750,279943.4062500,377900.8125000,422005.3125000,488398.9062500,617446.0000000,739537.3125000,815611.6250000,883883.8750000,948399.0000000,950734.5000000,1117997.0000000,38
,38095,12735.7998047,11481.0000000,24310.5996094,49346.8007813,43115.5000000,43670.3007813,33273.3984375,81220.2968750,120255.5000000,141194.2968750,190600.9062500,212845.7968750,246332.5937500,311419.8125000,372998.5937500,411368.0937500,445802.4062500,478341.6875000,479519.5937500,563881.1250000,38
,38097,19177.0996094,17287.5996094,36606.1015625,74304.7031250,64921.8007813,65757.2968750,50102.0000000,122298.7968750,181076.7968750,212605.7968750,287000.5937500,320496.0937500,370919.5000000,468925.5937500,561649.1250000,619424.5000000,671274.6250000,720271.3125000,722045.0000000,849073.8125000,38
,38099,29101.3007813,26234.0996094,55550.0000000,112757.8984375,98519.2968750,99787.1015625,76030.2031250,185589.2968750,274785.3125000,322630.8125000,435525.3125000,486355.0937500,562872.8750000,711597.8125000,852306.3125000,939980.8750000,1018664.0000000,1093017.0000000,1095708.0000000,1288475.0000000,38
,38101,14234.5996094,12832.0996094,27171.6992188,55154.3984375,48189.6992188,48809.8984375,37189.3984375,90779.1015625,134408.4062500,157811.5000000,213032.7031250,237895.5937500,275323.4062500,348070.8125000,416896.8125000,459781.9062500,498268.9062500,534637.8125000,535954.3750000,630244.3750000,38
,38103,16146.5000000,14555.7001953,30821.1992188,62562.3007813,54662.1992188,55365.6015625,42184.3007813,102971.7968750,152461.0000000,179007.5000000,241645.5000000,269847.8125000,312302.5937500,394820.8125000,472891.0000000,521536.0937500,565192.3125000,606445.8750000,607939.3750000,714893.6250000,38
,38105,5200.5000000,4688.1000977,9926.9003906,20150.1992188,17605.6992188,17832.3007813,13586.7998047,33165.3984375,49104.8984375,57655.1015625,77829.7031250,86913.1015625,100587.0000000,127164.6015625,152309.7031250,167977.4062500,182038.2031250,195325.2968750,195806.2968750,230254.2968750,38
,39001,183959.0937500,194524.9062500,220672.7968750,241170.7968750,262369.3125000,257413.2968750,266330.0937500,284215.0000000,315004.3125000,302597.5937500,326052.0937500,311186.3125000,321221.0937500,325061.4062500,342312.5937500,351985.8125000,295242.8125000,340761.6875000,392854.4062500,408784.5937500,39
,39003,543706.3125000,574934.3750000,652216.6250000,712800.0000000,775454.1250000,760806.3125000,787160.6250000,840020.8750000,931021.1250000,894352.0000000,963673.8750000,919736.8750000,949395.3750000,960745.6250000,1011733.0000000,1040323.0000000,872614.3125000,1007149.0000000,1161114.0000000,1208197.0000000,39
