Rowid_,FIPS,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,STATE
,1033,878479.0000000,789471.0000000,838930.5000000,1107416.0000000,1169900.0000000,1124675.0000000,1312469.0000000,1495231.0000000,1469049.0000000,1530945.0000000,1629256.0000000,1571082.0000000,1490523.0000000,1368137.0000000,1595821.0000000,1698138.0000000,1727282.0000000,1809873.0000000,1866490.0000000,1963795.0000000,1
,1035,437533.3125000,393202.1875000,417835.9062500,551557.3125000,582678.0000000,560153.1250000,653685.3125000,744711.6250000,731671.3750000,762498.8750000,811463.6250000,782489.5000000,742366.3750000,681411.1250000,794811.0000000,845771.0000000,860286.5000000,901421.3750000,929620.0000000,978083.5000000,1
,1037,48844.0000000,43895.1015625,46645.1015625,61573.0000000,65047.1992188,62532.6015625,72974.1015625,83135.7968750,81680.0000000,85121.5000000,90587.6015625,87353.1015625,82874.0000000,76069.2031250,88728.6015625,94417.5000000,96038.0000000,100630.0000000,103778.0000000,109188.2031250,1
,1039,947472.1250000,851473.8125000,904817.5000000,1194390.0000000,1261781.0000000,1213004.0000000,1415546.0000000,1612662.0000000,1584424.0000000,1651180.0000000,1757213.0000000,1694470.0000000,1607584.0000000,1475586.0000000,1721152.0000000,1831505.0000000,1862938.0000000,1952015.0000000,2013079.0000000,2118026.0000000,1
,1041,536526.8125000,482165.5937500,512372.6875000,676349.1250000,714511.0000000,686889.8125000,801583.8750000,913205.3125000,897214.6250000,935017.0000000,995060.1250000,959530.5000000,910329.5000000,835582.8750000,974639.8750000,1037130.0000000,1054929.0000000,1105371.0000000,1139950.0000000,1199378.0000000,1
,1043,638621.6250000,573916.1250000,609871.3125000,805050.5000000,850474.1250000,817596.8750000,954116.1250000,1086978.0000000,1067944.0000000,1112940.0000000,1184409.0000000,1142118.0000000,1083555.0000000,994584.6250000,1160103.0000000,1234484.0000000,1255670.0000000,1315711.0000000,1356869.0000000,1427606.0000000,1
,1045,616306.3125000,553861.8750000,588560.6250000,776919.8125000,820756.1250000,789027.6250000,920776.5000000,1048996.0000000,1030627.0000000,1074051.0000000,1143022.0000000,1102209.0000000,1045692.0000000,959831.0000000,1119565.0000000,1191347.0000000,1211793.0000000,1269736.0000000,1309456.0000000,1377722.0000000,1
,1047,1304232.0000000,1172086.0000000,1245516.0000000,1644123.0000000,1736890.0000000,1669746.0000000,1948554.0000000,2219892.0000000,2181020.0000000,2272913.0000000,2418871.0000000,2332503.0000000,2212901.0000000,2031201.0000000,2369232.0000000,2521137.0000000,2564406.0000000,2687024.0000000,2771080.0000000,2915544.0000000,1
,1049,985514.3125000,885661.3750000,941147.0000000,1242346.0000000,1312443.0000000,1261707.0000000,1472382.0000000,1677413.0000000,1648040.0000000,1717477.0000000,1827767.0000000,1762505.0000000,1672130.0000000,1534833.0000000,1790258.0000000,1905042.0000000,1937737.0000000,2030391.0000000,2093906.0000000,2203067.0000000,1
,1051,563174.3750000,506113.3125000,537820.6250000,709941.3125000,749998.5000000,721005.3750000,841396.1250000,958561.3125000,941776.5000000,981456.3750000,1044482.0000000,1007187.0000000,955542.8125000,877083.6250000,1023047.0000000,1088641.0000000,1107324.0000000,1160271.0000000,1196568.0000000,1258948.0000000,1
,1053,704884.3750000,633465.0000000,673150.8750000,888581.8125000,938718.3750000,902429.8750000,1053114.0000000,1199761.0000000,1178753.0000000,1228417.0000000,1307302.0000000,1260623.0000000,1195983.0000000,1097782.0000000,1280474.0000000,1362572.0000000,1385957.0000000,1452227.0000000,1497657.0000000,1575733.0000000,1
,1055,405395.9062500,364321.0000000,387145.3125000,511044.8125000,539879.5000000,519009.1875000,605671.3125000,690011.6250000,677929.3125000,706492.3750000,751860.6250000,725014.8125000,687838.8125000,631360.6250000,736431.3125000,783648.1250000,797097.3750000,835210.8750000,861338.3125000,906242.1250000,1
,1057,217320.0000000,195301.0937500,207536.4062500,273955.0937500,289412.5000000,278224.5000000,324681.4062500,369893.5937500,363416.5937500,378728.4062500,403048.9062500,388657.5937500,368728.8125000,338452.5937500,394777.5937500,420089.0937500,427298.9062500,447730.3125000,461736.4062500,485807.9062500,1
,1059,406790.6875000,365574.4062500,388477.1875000,512802.9062500,541736.8750000,520794.8125000,607755.0000000,692385.5000000,680261.5000000,708923.0000000,754447.3125000,727509.0000000,690205.1250000,633532.8125000,738964.8125000,786344.1250000,799839.6250000,838084.3125000,864301.6250000,909359.8750000,1
,1061,1421742.0000000,1277690.0000000,1357736.0000000,1792257.0000000,1893382.0000000,1820189.0000000,2124117.0000000,2419902.0000000,2377529.0000000,2477701.0000000,2636809.0000000,2542659.0000000,2412282.0000000,2214211.0000000,2582698.0000000,2748290.0000000,2795457.0000000,2929122.0000000,3020752.0000000,3178232.0000000,1
