USPS	GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                    
IA	19145	00465261	Page County	15932	7181	1385494422	1359125	     534.942	       0.525	 40.739090	 -95.144290                                                                                            
IA	19147	00465262	Palo Alto County	9421	4628	1460349241	14480046	     563.844	       5.591	 43.075854	 -94.667296                                                                                       
IA	19149	00465263	Plymouth County	24986	10550	2234881736	2177308	     862.893	       0.841	 42.737585	 -96.215864                                                                                       
IA	19151	00465264	Pocahontas County	7310	3794	1495047042	3666526	     577.241	       1.416	 42.734033	 -94.678279                                                                                       
IA	19153	00465265	Polk County	430640	182262	1486121332	45945876	     573.795	      17.740	 41.684281	 -93.569720                                                                                        
IA	19155	00465266	Pottawattamie County	93158	39330	2461213949	22925740	     950.280	       8.852	 41.340184	 -95.544905                                                                                 
IA	19157	00465267	Poweshiek County	18914	8949	1514967877	2939136	     584.932	       1.135	 41.684526	 -92.522882                                                                                       
IA	19159	00465268	Ringgold County	5131	2613	1386933932	8721518	     535.498	       3.367	 40.735334	 -94.244251                                                                                         
IA	19161	00465269	Sac County	10350	5429	1489272900	8596902	     575.012	       3.319	 42.387526	 -95.105224                                                                                             
IA	19163	00465270	Scott County	165224	71835	1186444226	26215864	     458.089	      10.122	 41.641679	 -90.622290                                                                                        
IA	19165	00465271	Shelby County	12167	5542	1530110414	1486135	     590.779	       0.574	 41.679014	 -95.308917                                                                                          
IA	19167	00465272	Sioux County	33704	12279	1989969635	1707495	     768.332	       0.659	 43.082854	 -96.177929                                                                                          
IA	19169	00465273	Story County	89542	36789	1483592867	2152172	     572.818	       0.831	 42.037538	 -93.466093                                                                                          
IA	19171	00465274	Tama County	17767	7766	1867411117	2769451	     721.011	       1.069	 42.074848	 -92.529411                                                                                            
IA	19173	00465275	Taylor County	6317	3107	1377618597	7133648	     531.902	       2.754	 40.737949	 -94.697108                                                                                           
IA	19175	00465276	Union County	12534	5937	1097235730	5575916	     423.645	       2.153	 41.028550	 -94.245091                                                                                           
IA	19177	00465277	Van Buren County	7570	3670	1255597645	14839903	     484.789	       5.730	 40.754117	 -91.952943                                                                                       
IA	19179	00465278	Wapello County	35625	16098	1118443326	10846138	     431.833	       4.188	 41.031263	 -92.409482                                                                                       
IA	19181	00465279	Warren County	46225	18371	1475844938	9125380	     569.827	       3.523	 41.336769	 -93.564366                                                                                         
IA	19183	00465280	Washington County	21704	9516	1473276393	5399692	     568.835	       2.085	 41.329401	 -91.725052                                                                                      
IA	19185	00465281	Wayne County	6403	3212	1360874542	4441137	     525.437	       1.715	 40.739983	 -93.332613                                                                                            
IA	19187	00465282	Webster County	38013	17035	1853443769	7277623	     715.619	       2.810	 42.434397	 -94.179156                                                                                        
IA	19189	00465283	Winnebago County	10866	5194	1037261544	3182052	     400.489	       1.229	 43.378124	 -93.743488                                                                                       
IA	19191	00465284	Winneshiek County	21056	8721	1786750121	698598	     689.868	       0.270	 43.292989	 -91.850788                                                                                       
IA	19193	00465285	Woodbury County	102172	41484	2260629616	12793293	     872.834	       4.940	 42.393220	 -96.053296                                                                                     
IA	19195	00465286	Worth County	7598	3548	1036314948	4709127	     400.123	       1.818	 43.373491	 -93.248533                                                                                            
IA	19197	00465287	Wright County	13229	6529	1503286817	4703964	     580.422	       1.816	 42.733007	 -93.734735                                                                                                                                                                                             
KS	20001	00484970	Allen County	13371	6226	1295779123	13007076	     500.303	       5.022	 37.884228	 -95.300945                                                                                          
KS	20003	00484971	Anderson County	8102	3720	1501276302	10586961	     579.646	       4.088	 38.215114	 -95.292046                                                                                        
KS	20005	00484972	Atchison County	16924	6990	1116729659	6857598	     431.172	       2.648	 39.532544	 -95.313397                                                                                        
KS	20007	00484973	Barber County	4861	2765	2937235546	5420045	    1134.073	       2.093	 37.222906	 -98.685052                                                                                           
