Rowid_,FIPS,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,STATE
,42071,4965295.0000000,5624260.0000000,6028674.0000000,6218385.0000000,6466238.0000000,7123571.0000000,7420719.0000000,6532194.0000000,7812422.0000000,7303578.0000000,6752737.0000000,8216664.0000000,7859340.0000000,7968857.0000000,6570869.0000000,6926049.0000000,7571960.0000000,7758708.0000000,6384527.0000000,5982934.0000000,5476198.0000000,42
,42073,523462.5000000,592933.3750000,635568.3750000,655568.5000000,681698.1250000,750997.0000000,782323.6250000,688651.6250000,823618.6250000,769974.1250000,711902.1250000,866235.5000000,1198347.0000000,1215045.0000000,1001888.0000000,1056044.0000000,1107744.0000000,1135064.0000000,934027.6250000,875276.3750000,801143.3125000,42
,42075,1196416.0000000,1355198.0000000,1452644.0000000,1498356.0000000,1558077.0000000,1716465.0000000,1788065.0000000,1573970.0000000,1882448.0000000,1759839.0000000,1627111.0000000,1979852.0000000,2176438.0000000,2206766.0000000,1819630.0000000,1917987.0000000,2003185.0000000,2052590.0000000,1689046.0000000,1582804.0000000,1448745.0000000,42
,42077,1279977.0000000,1449848.0000000,1554099.0000000,1603004.0000000,1666896.0000000,1836347.0000000,1912947.0000000,1683899.0000000,2013922.0000000,1882750.0000000,1740751.0000000,2118129.0000000,1853860.0000000,1879693.0000000,1549935.0000000,1633715.0000000,1620720.0000000,1660692.0000000,1366559.0000000,1280601.0000000,1172138.0000000,42
,42079,390025.4062500,441787.4062500,473554.1875000,488456.0937500,507924.9062500,559558.6250000,582899.8125000,513105.8125000,613668.1250000,573698.1250000,530429.5000000,645421.3750000,538511.5000000,546015.3750000,450227.1875000,474563.5937500,738246.8750000,756454.3750000,622475.3125000,583320.8750000,533915.3750000,42
,42081,950113.8125000,1076207.0000000,1153592.0000000,1189894.0000000,1237320.0000000,1363102.0000000,1419961.0000000,1249941.0000000,1494914.0000000,1397546.0000000,1292142.0000000,1572266.0000000,1667942.0000000,1691185.0000000,1394498.0000000,1469875.0000000,1485508.0000000,1522145.0000000,1252551.0000000,1173764.0000000,1074350.0000000,42
,42083,82541.1015625,93495.3984375,100218.2031250,103371.8984375,107492.1015625,118419.2968750,123359.0000000,108588.5000000,129870.5000000,121411.7031250,112254.7031250,136590.5000000,103944.2968750,105392.7031250,86903.5000000,91601.0000000,114667.6015625,117495.7031250,96685.5000000,90603.7968750,82930.0000000,42
,42085,969225.8750000,1097856.0000000,1176797.0000000,1213829.0000000,1262210.0000000,1390521.0000000,1448525.0000000,1275085.0000000,1524985.0000000,1425659.0000000,1318134.0000000,1603893.0000000,1729474.0000000,1753574.0000000,1445942.0000000,1524100.0000000,1623430.0000000,1663469.0000000,1368844.0000000,1282743.0000000,1174098.0000000,42
,42087,672282.1250000,761503.5000000,816259.6250000,841945.8125000,875504.0000000,964504.5000000,1004737.0000000,884434.3125000,1057772.0000000,988876.6250000,914294.8750000,1112505.0000000,1008677.0000000,1022733.0000000,843313.5000000,888897.6250000,1110426.0000000,1137813.0000000,936289.5000000,877395.8750000,803083.3125000,42
,42089,156325.2031250,177071.7968750,189804.2031250,195776.9062500,203580.2031250,224275.4062500,233630.7031250,205656.7968750,245962.9062500,229942.7031250,212600.2031250,258689.9062500,266179.0937500,269888.3125000,222541.4062500,234570.5937500,329569.0937500,337697.3125000,277886.0937500,260406.7968750,238351.2031250,42
,42091,682174.1250000,772708.3125000,828270.0000000,854334.1250000,888386.1250000,978696.1250000,1019521.0000000,897447.8750000,1073336.0000000,1003427.0000000,927747.8125000,1128875.0000000,1213174.0000000,1230079.0000000,1014285.0000000,1069111.0000000,1029851.0000000,1055251.0000000,868350.3125000,813730.1250000,744809.8125000,42
,42093,441570.0937500,500172.8125000,536137.8125000,553009.0000000,575050.8750000,633508.3750000,659934.1250000,580916.5000000,694768.8125000,649516.5000000,600529.6250000,730718.5000000,1030739.0000000,1045102.0000000,861757.8125000,908339.0000000,625984.8750000,641423.6250000,527818.1250000,494617.9062500,452725.3125000,42
,42095,1242031.0000000,1406866.0000000,1508026.0000000,1555481.0000000,1617480.0000000,1781906.0000000,1856236.0000000,1633978.0000000,1954217.0000000,1826934.0000000,1689145.0000000,2055335.0000000,2019846.0000000,2047992.0000000,1688710.0000000,1779991.0000000,1956234.0000000,2004481.0000000,1649458.0000000,1545705.0000000,1414789.0000000,42
,42097,1083018.0000000,1226750.0000000,1314959.0000000,1356339.0000000,1410400.0000000,1553775.0000000,1618589.0000000,1424786.0000000,1704026.0000000,1593038.0000000,1472890.0000000,1792198.0000000,1870098.0000000,1896157.0000000,1563512.0000000,1648025.0000000,1905356.0000000,1952348.0000000,1606559.0000000,1505505.0000000,1377993.0000000,42
,42099,818298.5000000,926898.3125000,993547.0000000,1024812.0000000,1065659.0000000,1173990.0000000,1222961.0000000,1076529.0000000,1287515.0000000,1203656.0000000,1112875.0000000,1354136.0000000,1331526.0000000,1350081.0000000,1113234.0000000,1173408.0000000,1325576.0000000,1358268.0000000,1117699.0000000,1047395.0000000,958683.8125000,42
,42101,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,42
,42103,35119.8984375,39780.8007813,42641.3007813,43983.1015625,45736.1992188,50385.5000000,52487.3007813,46202.6992188,55257.8007813,51658.6992188,47762.6015625,58117.1015625,38750.3007813,39290.3007813,32397.5000000,34148.6992188,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,42
,42105,317144.6875000,359234.3125000,385065.0937500,397182.4062500,413013.3125000,454998.5937500,473978.1875000,417226.0937500,498997.0937500,466496.0937500,431312.5937500,524817.0000000,446633.5000000,452857.1875000,373411.8125000,393596.0937500,486846.5000000,498853.5937500,410499.4062500,384678.5937500,352097.5000000,42
,42107,875356.8125000,991528.8750000,1062825.0000000,1096270.0000000,1139965.0000000,1255850.0000000,1308236.0000000,1151593.0000000,1377291.0000000,1287584.0000000,1190474.0000000,1448557.0000000,1448167.0000000,1468347.0000000,1210752.0000000,1276198.0000000,1708787.0000000,1750931.0000000,1440816.0000000,1350187.0000000,1235830.0000000,42
,42109,745973.6250000,844974.8750000,905733.0000000,934234.6250000,971471.3750000,1070228.0000000,1114870.0000000,981380.6250000,1173719.0000000,1097271.0000000,1014514.0000000,1234451.0000000,1161998.0000000,1178190.0000000,971498.0000000,1024011.0000000,1208724.0000000,1238535.0000000,1019172.0000000,955065.1250000,874174.1250000,42
,42111,1289336.0000000,1460449.0000000,1565463.0000000,1614725.0000000,1679085.0000000,1849774.0000000,1926934.0000000,1696212.0000000,2028648.0000000,1896516.0000000,1753480.0000000,2133617.0000000,1895761.0000000,1922178.0000000,1584967.0000000,1670641.0000000,1921781.0000000,1969178.0000000,1620408.0000000,1518483.0000000,1389872.0000000,42
,42113,131259.4062500,148679.4062500,159370.2031250,164385.2968750,170937.4062500,188314.2031250,196169.5000000,172681.0000000,206524.2968750,193072.7968750,178511.0937500,217210.5937500,221275.5937500,224359.0000000,184999.4062500,194999.2968750,164521.7968750,168579.4062500,138721.5000000,129995.7968750,118985.6015625,42
