FIPS,State,County,Year,N,P
5145,Arkansas,White,2002,"3,040,891","913,478"
5147,Arkansas,Woodruff,2002,"46,425","12,959"
5149,Arkansas,Yell,2002,"5,068,581","1,576,415"
6001,California,Alameda,2002,"966,828","289,257"
6003,California,Alpine,2002,"108,898","35,780"
6005,California,Amador,2002,"938,719","287,983"
6007,California,Butte,2002,"1,063,886","301,749"
6009,California,Calaveras,2002,"1,342,838","410,553"
6011,California,Colusa,2002,"932,723","222,726"
6013,California,Contra Costa,2002,"1,112,132","265,371"
6015,California,Del Norte,2002,"559,446","112,841"
6017,California,El Dorado,2002,"491,605","136,221"
6019,California,Fresno,2002,"22,836,970","5,455,147"
6021,California,Glenn,2002,"3,440,939","834,214"
6023,California,Humboldt,2002,"3,428,511","862,042"
6025,California,Imperial,2002,"15,185,983","3,730,124"
6027,California,Inyo,2002,"938,078","227,247"
6029,California,Kern,2002,"14,066,331","3,126,172"
6031,California,Kings,2002,"15,650,414","3,057,947"
6033,California,Lake,2002,"473,032","143,558"
6035,California,Lassen,2002,"2,345,568","723,722"
6037,California,Los Angeles,2002,"586,586","122,926"
6039,California,Madera,2002,"8,181,754","1,840,323"
6041,California,Marin,2002,"1,955,028","460,490"
6043,California,Mariposa,2002,"1,044,622","315,576"
6045,California,Mendocino,2002,"1,242,549","292,969"
6047,California,Merced,2002,"29,396,848","6,443,960"
6049,California,Modoc,2002,"3,589,565","1,125,344"
6051,California,Mono,2002,"284,678","86,967"
6053,California,Monterey,2002,"3,259,963","944,111"
6055,California,Napa,2002,"448,426","130,431"
6057,California,Nevada,2002,"343,630","94,948"
6059,California,Orange,2002,"74,559","18,024"
6061,California,Placer,2002,"1,298,951","303,041"
6063,California,Plumas,2002,"719,319","211,133"
6065,California,Riverside,2002,"14,339,044","3,394,106"
6067,California,Sacramento,2002,"3,863,814","927,954"
6069,California,San Benito,2002,"1,829,335","526,781"
6071,California,San Bernardino,2002,"17,601,487","3,516,242"
6073,California,San Diego,2002,"3,262,302","1,015,110"
6075,California,San Francisco,2002,0,0
6077,California,San Joaquin,2002,"14,048,457","3,060,026"
6079,California,San Luis Obispo,2002,"4,120,885","1,218,499"
6081,California,San Mateo,2002,"159,336","45,050"
6083,California,Santa Barbara,2002,"2,274,441","643,749"
6085,California,Santa Clara,2002,"1,409,367","333,314"
6087,California,Santa Cruz,2002,"177,809","46,797"
6089,California,Shasta,2002,"1,480,773","452,239"
6091,California,Sierra,2002,"329,398","100,498"
6093,California,Siskiyou,2002,"3,144,530","965,270"
6095,California,Solano,2002,"2,640,772","672,672"
6097,California,Sonoma,2002,"5,583,624","1,325,899"
6099,California,Stanislaus,2002,"24,570,016","5,523,152"
6101,California,Sutter,2002,"642,146","148,663"
6103,California,Tehama,2002,"3,414,856","966,996"
6105,California,Trinity,2002,"239,227","74,304"
6107,California,Tulare,2002,"50,272,771","9,934,472"
6109,California,Tuolumne,2002,"994,764","326,400"
6111,California,Ventura,2002,"554,451","151,964"
6113,California,Yolo,2002,"1,040,112","269,882"
6115,California,Yuba,2002,"1,463,990","381,162"
8001,Colorado,Adams,2002,"688,492","178,273"
8003,Colorado,Alamosa,2002,"660,079","156,276"
8005,Colorado,Arapahoe,2002,"520,194","160,362"
8007,Colorado,Archuleta,2002,"407,045","94,324"
8009,Colorado,Baca,2002,"2,751,964","831,486"
8011,Colorado,Bent,2002,"2,137,900","524,510"
8013,Colorado,Boulder,2002,"740,991","171,541"
8014,Colorado,Broomfield,2002,,
8015,Colorado,Chaffee,2002,"410,311","96,821"
8017,Colorado,Cheyenne,2002,"1,076,294","261,212"
