FIPS,State,County,N_1982,N_1987,N_1992,N_1997,P_1982,P_1987,P_1992,P_1997
34009,New Jersey,Cape May,48130.405,40461.9825,53146.855,34962.0325,17722.038,14015.364,19653.0935,9376.8285
34011,New Jersey,Cumberland,311435.441,298825.959,266602.4355,165570.5445,98389.9827,83073.9196,74327.0122,39947.8769
34013,New Jersey,Essex,3949.2375,0,2554.27,0,1057.725,0,506.62,0
34015,New Jersey,Gloucester,436596.827,292358.5105,307762.7745,352858.76,141971.6523,81965.0392,89425.9818,103519.6855
34017,New Jersey,Hudson,0,0,0,0,0,0,0,0
34019,New Jersey,Hunterdon,1172003.072,882875.352,764908.0345,586607.852,267319.9602,196079.6682,175399.3511,139803.152
34021,New Jersey,Mercer,158413.9425,134569.7645,95165.565,67297.235,37831.9715,29426.3858,20434.2455,13834.022
34023,New Jersey,Middlesex,78867.275,60552.555,68276.1125,39196.643,18545.213,14846.556,15359.582,8408.3657
34025,New Jersey,Monmouth,463639.4995,334824.1465,290394.8995,313628.047,112952.5418,68548.7201,55875.4663,60537.5965
34027,New Jersey,Morris,169441.432,151511.2615,131827.7055,107797.214,40311.1583,36470.2166,29911.6365,22726.915
34029,New Jersey,Ocean,112236.4945,85330.2225,64002.3855,67691.0515,34539.7738,21019.456,12850.3352,15751.0088
34031,New Jersey,Passaic,7780.87,10133.689,20477.27,14675.7725,1991.004,2251.7506,4472.517,2809.5085
34033,New Jersey,Salem,966446.5255,1106328.458,744331.2965,642786.2025,223854.9057,288963.9259,160769.9815,137508.313
34035,New Jersey,Somerset,487157.78,361245.9365,325341.4305,296504.6175,115852.3985,80139.9701,78097.7782,74057.398
34037,New Jersey,Sussex,838814.553,797149.5625,690930.622,533444.182,160681.4185,157754.7214,135601.5863,113263.2052
34039,New Jersey,Union,2442.3975,5158.6625,6975.515,0,708.392,1769.225,1234.43,0
34041,New Jersey,Warren,1133967.148,930041.6505,759966.729,639273.139,216073.9926,175878.6301,148551.891,125745.7827
35001,New Mexico,Bernalillo,1077498.728,972488.8505,908829.7665,1061123.983,258378.7007,222949.6082,214938.9645,230496.6768
35003,New Mexico,Catron,2241443.433,2484259.48,1946837.263,1550937.11,702994.853,785159.171,616149.681,499261.641
35005,New Mexico,Chaves,6096129.063,5536981.241,8098035.613,9826785.302,1611598.013,1437021.835,1974704.077,2144154.708
35006,New Mexico,Cibola,1508862.345,1658897.278,1479437.488,1216192.44,443971.923,477532.126,443892.7575,361576.161
35007,New Mexico,Colfax,2092026.874,1721664.6,2450573.875,2552472.803,627040.3846,512953.373,742153.675,762563.374
35009,New Mexico,Curry,4138283.074,4976119.883,4865541.598,6586611.935,1139764.026,1429385.499,1342188.587,1575139.932
35011,New Mexico,DeBaca,1512534.298,1563139.908,2142571.27,1751649.5,453930.651,486026.6285,663914.9262,538931.188
35013,New Mexico,Dona Ana,2615359.579,2676738.524,3585568.322,4627874.435,546621.2501,542714.4949,713520.9018,897507.8054
35015,New Mexico,Eddy,3020178.266,2378373.519,2879243.347,3677420.868,886158.2887,713697.7569,670541.7146,867531.7072
35017,New Mexico,Grant,1969885.97,1851502.202,1969503.82,1848477.804,624880.897,593692.632,637890.1097,592857.4326
