Rowid_,FIPS,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,STATE
,32023,41383.8007813,38260.0000000,49330.6992188,38884.8007813,45307.1992188,53903.8984375,47856.1992188,58826.8984375,76794.8984375,68123.2968750,59851.5000000,73896.0000000,28950.1992188,25170.4003906,28853.1992188,33339.1015625,24923.8007813,21977.4003906,23490.6992188,22929.0000000,33235.5000000,32
,32027,65149.6015625,60231.8984375,77660.2031250,61215.5000000,71326.2031250,84859.7031250,75339.1015625,92610.0000000,120896.6015625,107245.1015625,94223.0000000,116333.0000000,61698.3007813,53643.0000000,61491.6992188,71051.7968750,86809.3984375,76547.2031250,81818.1015625,79861.3984375,115759.2031250,32
,32029,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,32
,32031,16057.0000000,14845.0000000,19140.4003906,15087.4003906,17579.3007813,20914.8007813,18568.3007813,22825.0000000,29796.5996094,26432.0000000,23222.5000000,28671.8007813,27087.8007813,23551.1992188,26997.0996094,31194.3007813,17285.6992188,15242.2998047,16291.7998047,15902.2001953,23050.1992188,32
,32033,14528.0000000,13431.4003906,17317.8007813,13650.7001953,15905.4003906,18923.3007813,16800.1992188,20651.5000000,26959.3007813,23915.0996094,21011.1992188,25941.5996094,0.0000000,0.0000000,0.0000000,0.0000000,10880.9003906,9594.5996094,10255.2998047,10010.0996094,14509.5996094,32
,32510,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1306.5999756,1136.0000000,1302.1999512,1504.6999512,1742.9000244,1536.8000488,1642.5999756,1603.4000244,2324.1000977,32
,33001,25099.0996094,21195.8007813,22503.0000000,16076.2001953,17710.0996094,17855.3007813,20215.5000000,18345.5000000,17192.6992188,19507.4003906,20932.5996094,29728.5996094,16672.9003906,19624.0996094,19380.6992188,20536.8007813,23712.0000000,24065.5000000,18419.3007813,19909.6992188,20578.5000000,33
,33003,31388.8007813,26507.4003906,28142.0996094,20104.6992188,22148.0996094,22329.8007813,25281.3007813,22942.8007813,21501.0000000,24395.8007813,26178.0996094,37178.3984375,22989.1992188,27058.5000000,26722.9003906,28317.0000000,37320.6992188,37877.0000000,28990.5000000,31336.0996094,32388.6992188,33
,33005,114999.7031250,97115.5000000,103104.6015625,73658.0000000,81144.3984375,81809.8984375,92623.6015625,84055.7968750,78773.7031250,89379.5000000,95909.2968750,136211.2031250,72638.2968750,85495.7968750,84435.3984375,89472.3984375,112223.2031250,113896.2031250,87174.2031250,94227.7031250,97392.7968750,33
,33007,141150.4062500,119199.2968750,126550.3984375,90407.7031250,99596.5000000,100413.2968750,113686.0000000,103169.8984375,96686.7031250,109704.2031250,117718.8984375,167185.2968750,101264.6015625,119189.2031250,117710.8984375,124732.8984375,108882.8984375,110506.1015625,84579.5000000,91423.1015625,94493.8984375,33
